idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,spongent_compute_ms,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_j_compute_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id
11,1,14.56069,14.08669,0.474,104,spongent,14.081301,pair=UAV1<->UAV4; config=StadiumSPONGENT,1.571245,3.513778,0.155,5.47762,0.174,3.524047,0.145,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,4
12,1,14.468367,13.947367,0.521,104,spongent,13.943089,pair=UAV1<->UAV5; config=StadiumSPONGENT,1.539735,3.47267,0.154,5.443096,0.207,3.491866,0.16,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,5
13,1,14.399214,13.939214,0.46,104,spongent,13.934115,pair=UAV1<->UAV6; config=StadiumSPONGENT,1.529607,3.48855,0.154,5.430633,0.154,3.490424,0.152,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,6
14,1,14.50814,14.01214,0.496,104,spongent,14.007602,pair=UAV1<->UAV7; config=StadiumSPONGENT,1.529246,3.539676,0.169,5.46129,0.179,3.481928,0.148,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,7
15,1,14.525616,14.084616,0.441,104,spongent,14.080027,pair=UAV1<->UAV8; config=StadiumSPONGENT,1.566807,3.539566,0.154,5.460699,0.154,3.517544,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,8
16,1,14.438641,13.975641,0.463,104,spongent,13.972026,pair=UAV1<->UAV9; config=StadiumSPONGENT,1.545145,3.519509,0.156,5.406998,0.174,3.503989,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,1,9
17,1,14.823341,14.342341,0.481,104,spongent,14.334196,pair=UAV2<->UAV3; config=StadiumSPONGENT,1.559352,3.505182,0.154,5.566859,0.155,3.710948,0.172,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2,3
18,1,14.50777,14.02777,0.48,104,spongent,14.023722,pair=UAV2<->UAV4; config=StadiumSPONGENT,1.559613,3.517174,0.185,5.488632,0.162,3.462351,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2,4
19,1,14.647063,14.137063,0.51,104,spongent,14.132756,pair=UAV2<->UAV5; config=StadiumSPONGENT,1.584579,3.497527,0.184,5.535379,0.191,3.519578,0.135,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2,5
20,1,14.389597,13.930597,0.459,104,spongent,13.925637,pair=UAV2<->UAV6; config=StadiumSPONGENT,1.554203,3.538825,0.154,5.417718,0.155,3.419851,0.15,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2,6
21,1,14.716915,14.264915,0.452,104,spongent,14.257302,pair=UAV2<->UAV7; config=StadiumSPONGENT,1.568419,3.483741,0.154,5.512376,0.165,3.700379,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2,7
22,1,14.546696,14.052696,0.494,104,spongent,14.047906,pair=UAV2<->UAV8; config=StadiumSPONGENT,1.562649,3.514098,0.153,5.511474,0.154,3.464475,0.187,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2,8
23,1,14.800889,14.271889,0.529,104,spongent,14.26233,pair=UAV2<->UAV9; config=StadiumSPONGENT,1.561988,3.483921,0.224,5.724996,0.154,3.500984,0.151,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,2,9
24,1,14.621214,14.142214,0.479,104,spongent,14.130142,pair=UAV3<->UAV4; config=StadiumSPONGENT,1.562478,3.502727,0.186,5.55712,0.154,3.519889,0.139,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,3,4
25,1,14.668565,14.211565,0.457,104,spongent,14.205224,pair=UAV3<->UAV5; config=StadiumSPONGENT,1.550977,3.547361,0.155,5.486617,0.169,3.62661,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,3,5
26,1,14.727858,14.249858,0.478,104,spongent,14.243808,pair=UAV3<->UAV6; config=StadiumSPONGENT,1.5686,3.521181,0.177,5.574614,0.16,3.585463,0.141,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,3,6
27,1,14.595428,14.155428,0.44,104,spongent,14.147964,pair=UAV3<->UAV7; config=StadiumSPONGENT,1.551828,3.530639,0.154,5.50914,0.153,3.563821,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,3,7
28,1,14.624631,14.129631,0.495,104,spongent,14.123931,pair=UAV3<->UAV8; config=StadiumSPONGENT,1.580132,3.493039,0.166,5.505132,0.195,3.551328,0.134,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,3,8
29,1,14.59712,14.11312,0.484,104,spongent,14.107369,pair=UAV3<->UAV9; config=StadiumSPONGENT,1.561667,3.493179,0.155,5.475516,0.196,3.582758,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,3,9
30,1,14.539124,14.099124,0.44,104,spongent,14.088113,pair=UAV4<->UAV5; config=StadiumSPONGENT,1.602664,3.50968,0.153,5.448035,0.154,3.538745,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,4,5
31,1,14.5428,14.0918,0.451,104,spongent,14.084547,pair=UAV4<->UAV6; config=StadiumSPONGENT,1.570293,3.558051,0.154,5.459707,0.157,3.503749,0.14,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,4,6
32,1,14.506228,14.065228,0.441,104,spongent,14.058668,pair=UAV4<->UAV7; config=StadiumSPONGENT,1.561236,3.533474,0.154,5.483882,0.154,3.486636,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,4,7
33,1,14.519221,14.076221,0.443,104,spongent,14.068416,pair=UAV4<->UAV8; config=StadiumSPONGENT,1.567378,3.515541,0.154,5.462302,0.156,3.531,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,4,8
34,1,14.529141,14.061141,0.468,104,spongent,14.053137,pair=UAV4<->UAV9; config=StadiumSPONGENT,1.561646,3.513868,0.154,5.473022,0.177,3.512605,0.137,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,4,9
35,1,14.48711,14.03311,0.454,104,spongent,14.027038,pair=UAV5<->UAV6; config=StadiumSPONGENT,1.56854,3.5363,0.157,5.426856,0.154,3.501414,0.143,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,5,6
36,1,14.627472,14.173472,0.454,104,spongent,14.164836,pair=UAV5<->UAV7; config=StadiumSPONGENT,1.551046,3.612954,0.155,5.476278,0.166,3.533194,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,5,7
37,1,14.45878,14.01778,0.441,104,spongent,14.011086,pair=UAV5<->UAV8; config=StadiumSPONGENT,1.55277,3.494501,0.154,5.453836,0.154,3.516673,0.133,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,5,8
38,1,14.46287,14.00687,0.456,104,spongent,14.001177,pair=UAV5<->UAV9; config=StadiumSPONGENT,1.539485,3.515391,0.154,5.458635,0.17,3.493359,0.132,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,5,9
39,1,14.406892,13.949892,0.457,104,spongent,13.9435,pair=UAV6<->UAV7; config=StadiumSPONGENT,1.547851,3.474243,0.153,5.429129,0.154,3.498669,0.15,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,6,7
40,1,14.480251,14.012251,0.468,104,spongent,14.008642,pair=UAV6<->UAV8; config=StadiumSPONGENT,1.54767,3.52536,0.155,5.448727,0.161,3.490494,0.152,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,6,8
41,1,14.501341,14.050341,0.451,104,spongent,14.045434,pair=UAV6<->UAV9; config=StadiumSPONGENT,1.571555,3.485304,0.163,5.490645,0.154,3.502837,0.134,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,6,9
42,1,14.46966,13.99666,0.473,104,spongent,13.989737,pair=UAV7<->UAV8; config=StadiumSPONGENT,1.570964,3.474664,0.178,5.480486,0.155,3.470546,0.14,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,7,8
43,1,14.406269,13.963269,0.443,104,spongent,13.957286,pair=UAV7<->UAV9; config=StadiumSPONGENT,1.557339,3.494612,0.155,5.42441,0.154,3.486908,0.134,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,7,9
44,1,14.476385,14.025385,0.451,104,spongent,14.019362,pair=UAV8<->UAV9; config=StadiumSPONGENT,1.561977,3.503849,0.153,5.494843,0.154,3.464716,0.144,StadiumSPONGENT,StadiumSPONGENT-0-20260406-12:04:54-334662,8,9
